TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.cbarkinozer.onlinebankingrestapi.app.loa.entity.LoaLoanPayment,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,62,62
com.cbarkinozer.onlinebankingrestapi.app.loa.dto.LoaLoanDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9928837821087952,595,590
com.cbarkinozer.onlinebankingrestapi.app.loa.dto.LoaPayInstallmentResponseDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9866297271272672,436,431
com.cbarkinozer.onlinebankingrestapi.app.loa.dto.LoaPayLoanOffResponseDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9871859006534074,438,433
com.cbarkinozer.onlinebankingrestapi.app.log.entity.LogDetail,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,1.0,57,57
com.cbarkinozer.onlinebankingrestapi.app.loa.enums.LoaErrorMessage,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7329545454545454,33,20
com.cbarkinozer.onlinebankingrestapi.app.loa.service.LoaLoanService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.47039671331719385,451,157
com.cbarkinozer.onlinebankingrestapi.app.loa.service.LoaLoanValidationService,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8113526817553781,351,305
com.cbarkinozer.onlinebankingrestapi.app.sec.enums.EnumJwtConstant,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8454545454545455,24,14
com.cbarkinozer.onlinebankingrestapi.app.sec.dto.SecLoginRequestDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9722721674876847,199,194
com.cbarkinozer.onlinebankingrestapi.OnlinebankingrestapiApplication,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8333333333333333,13,9
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccAccountSaveDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9788995726495726,285,280
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccAccountActivityDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9866297271272672,436,431
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccMoneyActivityDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8933851474612344,324,318
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccMoneyActivityRequestDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9762404214559387,203,198
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccAccountDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9882586318269753,490,485
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccMoneyTransferSaveDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9859911575231803,434,429
com.cbarkinozer.onlinebankingrestapi.app.acc.dto.AccMoneyTransferDto,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9008972054297921,516,510
